Theta,Phi,Power
320,20,140,1.3587433961225273
321,20,145,2.3328704681348116
322,20,150,2.3533454771759845
323,20,155,1.099541366735515
324,20,160,-1.3587925662742626
325,20,165,-4.546435722159067
326,20,170,-7.70572842090301
327,20,175,-10.020778099840626
328,20,180,-10.869706546404995
329,20,185,-10.020677265715783
330,20,190,-7.705554179676149
331,20,195,-4.546234230427701
332,20,200,-1.3586142593343065
333,20,205,1.0996571200029635
334,20,210,2.3533815314811437
335,20,215,2.332835321338858
336,20,220,1.358666052972494
337,20,225,-5.098888845941785e-05
338,20,230,-1.140129456033998
339,20,235,-1.6334875949925025
340,20,240,-1.3586883384816233
341,20,245,-0.5127062305051455
342,20,250,0.49457060194345887
343,20,255,1.2182089590842748
344,20,260,1.3587050531346434
345,20,265,0.876667241150274
346,20,270,-4.326565005974516e-05
347,20,275,-0.876734391747338
348,20,280,-1.3587222180633256
349,20,285,-1.218166765546195
350,20,290,-0.4944855034489465
351,20,295,0.5127978526240544
352,20,300,1.358744541937046
353,20,305,1.6334783565576911
354,20,310,1.1400505400269212
355,20,315,-7.138501210990812e-05
356,20,320,-1.3587820671602984
357,20,325,-2.332888040180221
358,20,330,-2.3533274482088484
359,20,335,-1.0994834883820255
360,20,340,1.3588817207900805
361,20,345,4.546536467992655
362,20,350,7.705815540322168
363,20,355,10.020828514822531
364,20,360,10.869706543993997
365,25,0,11.270099472475021
366,25,5,10.389847903328347
367,25,10,7.9894837621226396
368,25,15,4.7138022719939165
369,25,20,1.4087521632218232
370,25,25,-1.140103719016469
371,25,30,-2.440051226801799
372,25,35,-2.418785095000396
373,25,40,-1.4087535238311228
374,25,45,1.0573447725197666e-05
375,25,50,1.1820996149681684
376,25,55,1.6936550131260333
377,25,60,1.4087559591357346
378,25,65,0.5316237739596004
379,25,70,-0.5127590307473883
380,25,75,-1.2630679204973074
381,25,80,-1.408759797359155
382,25,85,-0.9089830749352965
383,25,90,1.4953123094804548e-05
384,25,95,0.9090062829800698
385,25,100,1.4087657297626004
386,25,105,1.2630533379088618
387,25,110,0.5127296196958587
388,25,115,-0.531655439653287
